,Lat,Long,HOUR,OCCURRED_ON_DATE,OFFENSE_DESCRIPTION,Risk_Category
70,42.2762014463856,-71.13788999515782,19,2023-12-24 19:06:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
71,42.297554856340426,-71.05970968687002,17,2024-04-14 17:40:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
72,42.31089941733004,-71.08007721465039,11,2023-09-28 11:30:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
73,42.3046009357459,-71.11552208333651,10,2023-05-05 10:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
74,42.28816371469839,-71.1202301223534,0,2023-12-06 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
75,42.33954152609665,-71.06940928222296,23,2023-12-06 23:08:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
76,42.32866239451696,-71.08563458516488,12,2024-03-27 12:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
77,42.31295452365374,-71.08345132147807,10,2023-12-06 10:29:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
78,42.32862990108418,-71.08376592821396,5,2024-03-27 05:35:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
79,42.28648743757552,-71.16568402826533,16,2023-06-24 16:40:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
80,42.27913797394428,-71.08797158835046,0,2023-10-22 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
81,42.34905564195639,-71.1504991731562,16,2023-10-22 16:49:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
82,42.328233740731136,-71.08329037933805,11,2024-01-10 11:15:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
83,42.332808352450726,-71.0672927776197,15,2024-01-09 15:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
84,42.30971815419562,-71.10429497557632,12,2024-01-08 12:20:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
85,42.3618380883142,-71.05976533206233,1,2024-01-08 01:12:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
86,42.30971815419562,-71.10429497557632,18,2023-12-28 18:16:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
87,42.28482533772862,-71.09137437366408,0,2024-06-24 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
88,42.325573496748255,-71.05248180160204,7,2023-12-26 07:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
89,42.38132453142911,-71.02804042233107,15,2023-12-26 15:55:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
90,42.31996713977636,-71.08715081433111,13,2023-12-26 13:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
91,42.3618380883142,-71.05976533206233,9,2023-12-27 09:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
92,42.38132453142911,-71.02804042233107,13,2023-06-04 13:50:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
93,42.27267641119019,-71.16266941826343,17,2023-07-12 17:59:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
94,42.38132453142911,-71.02804042233107,15,2023-10-21 15:46:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
95,42.38132453142911,-71.02804042233107,1,2023-08-23 01:50:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
96,42.256215542554976,-71.12402029533455,14,2023-09-28 14:45:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
